Current_season,Month,Previous_flu_Season,Jurisdiction,2024_25_estimate,Previous_Estimate,Difference_in_season_estimate,Numerator,Previous_season_numerator,Population,Age_group_label,Difference_indicator,Child_or_adult
2024-25,SEP,2022-23,Kentucky,0.0321,0.0379,-0.0058,31351,37006,975661.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Louisiana,0.0189,0.0226,-0.0037,19883,23749,1052713,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Massachusetts,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Maryland,0.0594,0.0694,-0.0101,77129,90206,1299127.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Maine,0.1671,0.2201,-0.053,40443,53279,242032,6 months-17 years,Lower by 5 percentage points or greater,Child
2024-25,SEP,2022-23,Marshall Islands,0.0073,0.0064,9e-4,213,187,29342,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Michigan,0.0391,0.0425,-0.0034,81144,88123,2072888.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Minnesota,0.048,0.0532,-0.0052,60838,67447,1268024,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Missouri,0.0298,0.0225,0.0073,39751,30019,1335604.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,N. Mariana Islands,0.1132,0.0255,0.0878,1743,392,15392.5,6 months-17 years,Higher by 5 percentage points or greater,Child
2024-25,SEP,2022-23,Mississippi,0.0101,0.0087,0.0014,6832,5876,675423.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Montana,0.0162,0.0194,-0.0031,3636,4335,224000.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,North Carolina,0.0547,0.0351,0.0195,122815,78976,2247245.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,North Dakota,0.0447,0.0486,-0.0039,7882,8574,176399.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Nebraska,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,New Hampshire,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,New Jersey,0.0761,0.0746,0.0016,143526,140557,1884782,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,New Mexico,0.0141,0.014,1e-4,6500,6457,461203,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Nevada,0.0293,0.0281,0.0011,19883,19119,679728,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,New York,0.0512,0.0623,-0.0111,114510,139375,2237082,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Ohio,0.0416,0.04,0.0015,104004,100151,2502483,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Oklahoma,0.0163,0.0139,0.0024,15156,12882,929182.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Oregon,0.0412,0.0384,0.0029,34623,32223,839769,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Pennsylvania,0.0586,0.0601,-0.0015,130451,133859,2225691,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Philadelphia,0.0695,0.093,-0.0235,22828,30555,328538.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Puerto Rico,0.0132,0.0118,0.0014,7309,6507,553690.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Rhode Island,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Republic of Palau,0,0,0,0,0,4829.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,South Carolina,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,South Dakota,0.0282,0.0339,-0.0057,5999,7204,212574,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Houston,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,Tennessee,0.0376,0.0343,0.0033,55371,50476,1473455.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Texas,0.0336,0.0287,0.0049,243532,208215,7246622.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Utah,0.0405,0.0481,-0.0076,36640,43526,905560.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Virginia,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,SEP,2022-23,U.S. Virgin Islands,0.0033,0,0.0033,80,1,24141,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Vermont,0.0545,0.0518,0.0027,6025,5722,110501,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Washington,0.0459,0.0438,0.0021,74443,71080,1622553.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Wisconsin,0.0445,0.0448,-3e-4,54646,54975,1227144.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,West Virginia,0.0165,0.0167,-2e-4,5749,5821,347543.5,6 months-17 years,Within 5 percentage points,Child
2024-25,SEP,2022-23,Wyoming,0.0076,0.0082,-6e-4,984,1068,129929.5,6 months-17 years,Within 5 percentage points,Child
2024-25,AUG,2022-23,Alaska,0.0042,0.0019,0.0023,3081,1412,726305,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Alabama,0.0055,0.0032,0.0023,26727,15604,4893409,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Arkansas,0.0028,0.0014,0.0014,8452,4092,3012504.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,American Samoa,0,0.058,-0.058,2,2727,46976.5,Overall,Lower by 5 percentage points or greater,All
2024-25,AUG,2022-23,Arizona,0.0066,0.005,0.0017,49007,36702,7380696.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,New York City,0.0062,0.0062,-1e-4,50551,50979,8200096,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,California,0.0078,0.0077,1e-4,305906,301087,39144646,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Chicago,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,Colorado,0.0057,0.0034,0.0023,32826,19465,5776181,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Connecticut,0.0071,0.0044,0.0027,25299,15651,3539890,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,District of Columbia,0.005,0.0033,0.0018,3557,2310,708203.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Delaware,0.0076,0.0059,0.0018,7492,5743,981560.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Florida,0.0131,0.0079,0.0053,283923,170048,21623533,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Federated States of Micronesia,4e-4,0,4e-4,42,0,101371,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Georgia,0,0,0,0,0,10647521,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Guam,0.0086,0.0016,0.0069,1429,275,166917,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Hawaii,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,Iowa,0.002,0.0018,3e-4,6398,5566,3145074,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Idaho,0.0029,0.0016,0.0012,5259,2992,1816139.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Illinois,0.0058,0.0038,0.002,72477,47199,12517504,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Indiana,0.0055,0.0027,0.0027,36819,18371,6714728,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Kansas,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,Kentucky,0.0053,0.0032,0.0022,23796,14185,4450995.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Louisiana,0.0044,0.0023,0.0022,20360,10406,4616751,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Massachusetts,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,Maryland,0.0074,0.0051,0.0023,44460,30872,6021010.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Maine,0.0476,0.0769,-0.0294,63916,103410,1344005,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Marshall Islands,1e-4,5e-4,-4e-4,5,39,76871,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Michigan,0.0056,0.0038,0.0018,55702,37801,9912630.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Minnesota,0.0038,0.0032,7e-4,21517,17782,5624147,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Missouri,0.0036,0.0027,8e-4,21743,16642,6115723.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,N. Mariana Islands,0.003,0.0022,8e-4,152,112,51467.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Mississippi,0.0038,0.0019,0.0019,11163,5517,2949076.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Montana,0.0023,8e-4,0.0015,2515,898,1074894.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,North Carolina,0.0062,0.001,0.0052,65091,10247,10541669,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,North Dakota,0.0014,0.001,4e-4,1087,746,760079.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Nebraska,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,New Hampshire,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,New Jersey,0.0078,0.0052,0.0026,69220,46083,8832618,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,New Mexico,0.0063,0.0034,0.0029,13222,7159,2095031,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Nevada,0.0102,0.0056,0.0046,31744,17530,3120407,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,New York,0.006,0.0049,0.0012,66444,53619,11026194,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Ohio,0.0051,0.0045,6e-4,59714,52351,11627059,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Oklahoma,0.0025,0.0013,0.0012,9903,5208,3956445.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Oregon,0.0028,0.0012,0.0016,11927,4987,4220498,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Pennsylvania,0.0057,0.0042,0.0015,62994,46784,11148453,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Philadelphia,0.0081,0.0061,0.0019,12658,9604,1568273.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Puerto Rico,0.0061,0.0123,-0.0062,19400,39151,3177862.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Rhode Island,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,Republic of Palau,0,0,0,0,0,21412.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,South Carolina,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,South Dakota,0.0018,0.001,8e-4,1581,855,886812,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Houston,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,Tennessee,0.0066,0.0038,0.0028,45531,26301,6846888.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Texas,0.0044,0.0018,0.0026,128264,53083,29172250,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Utah,0.0042,0.0027,0.0015,13547,8580,3226163.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Virginia,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,AUG,2022-23,U.S. Virgin Islands,5e-4,9.4654e-6,4e-4,48,1,105648,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Vermont,0.0031,0.002,0.0011,1938,1267,620682,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Washington,0.0063,0.0034,0.0029,47923,25986,7650371.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Wisconsin,0.003,0.0022,9e-4,17614,12513,5801275.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,West Virginia,0.0034,0.0025,9e-4,6056,4393,1776063.5,Overall,Within 5 percentage points,All
2024-25,AUG,2022-23,Wyoming,0.0019,5e-4,0.0014,1125,296,579166.5,Overall,Within 5 percentage points,All
2024-25,DEC,2023-24,Alaska,0.1235,0.1342,-0.0107,21476,23332,173878,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Alabama,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Arkansas,0.1767,0.1953,-0.0187,120423,133154,681696.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,American Samoa,0.2414,0.2351,0.0063,3776,3678,15641.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Arizona,0.1387,0.15,-0.0113,222713,240799,1605718.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York City,0.3275,0.331,-0.0035,537406,543154,1640786,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,California,0.1878,0.2061,-0.0183,1608783,1765818,8567802,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Chicago,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Colorado,0.263,0.2852,-0.0222,320488,347488,1218497,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Connecticut,0.3874,0.4103,-0.0229,271910,287991,701836,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,District of Columbia,0.2399,0.2627,-0.0228,29982,32834,124975.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Delaware,0.2503,0.2798,-0.0294,49917,55789,199407.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Florida,0.1342,0.1522,-0.018,555696,630361,4140953,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Federated States of Micronesia,0.093,0.0905,0.0025,3221,3135,34647,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Georgia,0.1502,0,0.1502,365991,0,2437453.5,6 months-17 years,Higher by 5 percentage points or greater,Child
2024-25,DEC,2023-24,Guam,0.0777,0.0577,0.02,4067,3020,52373,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Hawaii,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Iowa,0.224,0.2256,-0.0016,158359,159490,707072,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Idaho,0.1502,0.1701,-0.0199,66120,74898,440269.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Illinois,0.197,0.2123,-0.0153,533547,574986,2707942,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Indiana,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Kansas,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Kentucky,0.1551,0.1766,-0.0215,151362,172306,975661.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Louisiana,0.1071,0.1238,-0.0167,112721,130348,1052713,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Massachusetts,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Maryland,0.2718,0.2785,-0.0067,353089,361836,1299127.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Maine,0.3878,0.4002,-0.0124,93851,96856,242032,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Marshall Islands,0.0857,0.0694,0.0163,2515,2036,29342,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Michigan,0.1724,0.1781,-0.0057,357354,369198,2072888.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Minnesota,0.241,0.256,-0.015,305582,324563,1268024,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Missouri,0.1633,0.1814,-0.0181,218143,242289,1335604.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,N. Mariana Islands,0.3133,0.217,0.0963,4823,3340,15392.5,6 months-17 years,Higher by 5 percentage points or greater,Child
2024-25,DEC,2023-24,Mississippi,0.0645,0.0781,-0.0136,43560,52733,675423.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Montana,0.1368,0.1448,-0.008,30640,32439,224000.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Carolina,0.2066,0.2121,-0.0055,464195,476555,2247245.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,North Dakota,0.2297,0.2449,-0.0152,40522,43206,176399.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nebraska,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,New Hampshire,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,New Jersey,0.3036,0.3199,-0.0163,572227,602905,1884782,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New Mexico,0.1601,0.1772,-0.0171,73855,81722,461203,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Nevada,0.1248,0.1402,-0.0154,84811,95305,679728,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,New York,0.2355,0.2629,-0.0274,526816,588116,2237082,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Ohio,0.1829,0.1868,-0.0039,457627,467426,2502483,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oklahoma,0.121,0.1344,-0.0134,112466,124874,929182.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Oregon,0.2092,0.2202,-0.011,175684,184889,839769,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Pennsylvania,0.2224,0.2597,-0.0374,494935,578091,2225691,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Philadelphia,0.2195,0.3525,-0.133,72121,115803,328538.5,6 months-17 years,Lower by 5 percentage points or greater,Child
2024-25,DEC,2023-24,Puerto Rico,0.0344,0.0634,-0.029,19021,35093,553690.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Rhode Island,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Republic of Palau,0,0,0,0,0,4829.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,South Carolina,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,South Dakota,0.228,0.2445,-0.0165,48469,51982,212574,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Houston,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,Tennessee,0.1577,0.1657,-0.008,232383,244109,1473455.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Texas,0.133,0.1424,-0.0093,963941,1031677,7246622.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Utah,0.2033,0.2105,-0.0072,184120,190623,905560.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Virginia,NA,NA,NA,NA,NA,NA,6 months-17 years,Not Available,Child
2024-25,DEC,2023-24,U.S. Virgin Islands,0.0181,0.02,-0.0019,438,483,24141,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Vermont,0.3031,0.3263,-0.0232,33491,36059,110501,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Washington,0.2188,0.2378,-0.0189,355083,385806,1622553.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wisconsin,0.2366,0.2472,-0.0106,290314,303373,1227144.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,West Virginia,0.1201,0.1346,-0.0145,41741,46772,347543.5,6 months-17 years,Within 5 percentage points,Child
2024-25,DEC,2023-24,Wyoming,0.1125,0.1246,-0.0121,14615,16184,129929.5,6 months-17 years,Within 5 percentage points,Child
2024-25,JUL,2023-24,Alaska,0,0,0,29,20,726305,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Alabama,1e-4,0,1e-4,679,147,4893409,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Arkansas,0,0,-3.98e-6,118,130,3012504.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,American Samoa,0,0,0,0,0,46976.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Arizona,1e-4,1e-4,1e-4,1058,480,7380696.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,New York City,1e-4,1e-4,0,605,421,8200096,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,California,1e-4,0,1e-4,4524,1843,39144646,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Chicago,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,JUL,2023-24,Colorado,1e-4,1e-4,0,565,464,5776181,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Connecticut,0,0,-9.89e-6,136,171,3539890,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,District of Columbia,1e-4,1e-4,1.412e-6,37,36,708203.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Delaware,0,1e-4,-1e-4,36,87,981560.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Florida,9e-4,1e-4,8e-4,19419,2613,21623533,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Federated States of Micronesia,0,0,0,0,0,101371,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Georgia,0,0,0,0,0,10647521,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Guam,0,0,0,0,6,166917,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Hawaii,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,JUL,2023-24,Iowa,0,5.4053e-6,0,66,17,3145074,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Idaho,1e-4,0,0,117,43,1816139.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Illinois,1e-4,0,0,922,418,12517504,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Indiana,1e-4,0,0,420,100,6714728,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Kansas,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,JUL,2023-24,Kentucky,1e-4,0,0,338,176,4450995.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Louisiana,1e-4,0,1e-4,442,151,4616751,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Massachusetts,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
2024-25,JUL,2023-24,Maryland,1e-4,0,0,452,232,6021010.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Maine,0.0231,0.0208,0.0023,30989,27953,1344005,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Marshall Islands,0,0,0,3,0,76871,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Michigan,0,7.4652e-6,0,303,74,9912630.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Minnesota,1e-4,8.179e-6,1e-4,486,46,5624147,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Missouri,0,0,4.9054e-6,168,138,6115723.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,N. Mariana Islands,0,0,0,1,2,51467.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Mississippi,1e-4,0,1e-4,227,53,2949076.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Montana,0,0,5.5819e-6,25,19,1074894.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,North Carolina,3e-4,0,2e-4,2764,147,10541669,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,North Dakota,0,0,0,20,12,760079.5,Overall,Within 5 percentage points,All
2024-25,JUL,2023-24,Nebraska,NA,NA,NA,NA,NA,NA,Overall,Not Available,All
